name,id,第一圈（crossCount=1）,第二圈,第三圈,第四圈,日志信息
40,1998863771,00:38,01:42,02:33,03:41,"2025-11-12 18:14:51.476 32296-32296 I/LongDistanceRaceFragmentViewModel: addCircle ip=192.168.127.119, status=SPORTING, recordId=29a3d732598a4a6d872e89bb3ea959d2, testerId=1998863771, name=40, startTime=1762942452993, crossTime=1762942491293, crossCount=1, score=00:38, lastScore=00:00
2025-11-12 18:15:55.626 32296-32296 I/LongDistanceRaceFragmentViewModel: addCircle ip=192.168.127.119, status=SPORTING, recordId=29a3d732598a4a6d872e89bb3ea959d2, testerId=1998863771, name=40, startTime=1762942452993, crossTime=1762942555429, crossCount=2, score=01:42, lastScore=00:38
... (共4条日志)"
43,1998863774,00:35,01:41,02:28,03:42,"2025-11-12 18:14:47.783 32296-32296 I/LongDistanceRaceFragmentViewModel: addCircle ip=192.168.127.119, status=SPORTING, recordId=29044a2af2dc4b7db847ceb5c2ae8385, testerId=1998863774, name=43, startTime=1762942452993, crossTime=1762942487595, crossCount=1, score=00:35, lastScore=00:00
2025-11-12 18:15:54.520 32296-32296 I/LongDistanceRaceFragmentViewModel: addCircle ip=192.168.127.119, status=SPORTING, recordId=29044a2af2dc4b7db847ceb5c2ae8385, testerId=1998863774, name=43, startTime=1762942452993, crossTime=1762942554323, crossCount=2, score=01:41, lastScore=00:35
... (共4条日志)"
45,1998863776,00:38,01:42,02:30,03:40,"2025-11-12 18:14:50.948 32296-32296 I/LongDistanceRaceFragmentViewModel: addCircle ip=192.168.127.119, status=SPORTING, recordId=4a3515179ea14767ac8a3099252271c5, testerId=1998863776, name=45, startTime=1762942452993, crossTime=1762942490553, crossCount=1, score=00:38, lastScore=00:00
2025-11-12 18:15:55.124 32296-32296 I/LongDistanceRaceFragmentViewModel: addCircle ip=192.168.127.119, status=SPORTING, recordId=4a3515179ea14767ac8a3099252271c5, testerId=1998863776, name=45, startTime=1762942452993, crossTime=1762942554803, crossCount=2, score=01:42, lastScore=00:38
... (共4条日志)"
48,1998863779,00:35,01:41,02:30,03:39,"2025-11-12 18:14:47.966 32296-32296 I/LongDistanceRaceFragmentViewModel: addCircle ip=192.168.127.119, status=SPORTING, recordId=90cf30b0d55f4682a026041ebdad81c6, testerId=1998863779, name=48, startTime=1762942452993, crossTime=1762942487762, crossCount=1, score=00:35, lastScore=00:00
2025-11-12 18:15:53.734 32296-32296 I/LongDistanceRaceFragmentViewModel: addCircle ip=192.168.127.119, status=SPORTING, recordId=90cf30b0d55f4682a026041ebdad81c6, testerId=1998863779, name=48, startTime=1762942452993, crossTime=1762942553536, crossCount=2, score=01:41, lastScore=00:35
... (共4条日志)"
49,1998863780,00:34,01:39,02:30,03:39,"2025-11-12 18:14:47.220 32296-32296 I/LongDistanceRaceFragmentViewModel: addCircle ip=192.168.127.119, status=SPORTING, recordId=2ee55c80c4934a74ae967dff8d4fb430, testerId=1998863780, name=49, startTime=1762942452993, crossTime=1762942487052, crossCount=1, score=00:34, lastScore=00:00
2025-11-12 18:15:52.666 32296-32296 I/LongDistanceRaceFragmentViewModel: addCircle ip=192.168.127.119, status=SPORTING, recordId=2ee55c80c4934a74ae967dff8d4fb430, testerId=1998863780, name=49, startTime=1762942452993, crossTime=1762942552464, crossCount=2, score=01:39, lastScore=00:34
... (共4条日志)"
50,1998863781,00:37,02:29,04:08,,"2025-11-12 18:14:50.187 32296-32296 I/LongDistanceRaceFragmentViewModel: addCircle ip=192.168.127.119, status=SPORTING, recordId=c602fa69bb334e88a002d82df4cc2df7, testerId=1998863781, name=50, startTime=1762942452993, crossTime=1762942489997, crossCount=1, score=00:37, lastScore=00:00
2025-11-12 18:16:42.328 32296-32296 I/LongDistanceRaceFragmentViewModel: addCircle ip=192.168.127.119, status=SPORTING, recordId=c602fa69bb334e88a002d82df4cc2df7, testerId=1998863781, name=50, startTime=1762942452993, crossTime=1762942602036, crossCount=2, score=02:29, lastScore=00:37
... (共3条日志)"
53,1998863784,00:38,01:42,02:31,,"2025-11-12 18:14:51.660 32296-32296 I/LongDistanceRaceFragmentViewModel: addCircle ip=192.168.127.119, status=SPORTING, recordId=d2574c31b4824b26ba2e54917fe0a5b4, testerId=1998863784, name=53, startTime=1762942452993, crossTime=1762942491295, crossCount=1, score=00:38, lastScore=00:00
2025-11-12 18:15:55.310 32296-32296 I/LongDistanceRaceFragmentViewModel: addCircle ip=192.168.127.119, status=SPORTING, recordId=d2574c31b4824b26ba2e54917fe0a5b4, testerId=1998863784, name=53, startTime=1762942452993, crossTime=1762942554957, crossCount=2, score=01:42, lastScore=00:38
... (共3条日志)"
54,1998863785,00:35,,,,"2025-11-12 18:14:48.289 32296-32296 I/LongDistanceRaceFragmentViewModel: addCircle ip=192.168.127.119, status=SPORTING, recordId=c3e92f0b76004337b23994aec8fcce90, testerId=1998863785, name=54, startTime=1762942452993, crossTime=1762942488098, crossCount=1, score=00:35, lastScore=00:00"
55,1998863786,00:37,01:41,02:31,03:41,"2025-11-12 18:14:50.002 32296-32296 I/LongDistanceRaceFragmentViewModel: addCircle ip=192.168.127.119, status=SPORTING, recordId=2010fb6a16d0481fbbb37cc5066c7347, testerId=1998863786, name=55, startTime=1762942452993, crossTime=1762942489807, crossCount=1, score=00:37, lastScore=00:00
2025-11-12 18:15:54.357 32296-32296 I/LongDistanceRaceFragmentViewModel: addCircle ip=192.168.127.119, status=SPORTING, recordId=2010fb6a16d0481fbbb37cc5066c7347, testerId=1998863786, name=55, startTime=1762942452993, crossTime=1762942554170, crossCount=2, score=01:41, lastScore=00:37
... (共4条日志)"
56,1998863787,00:35,01:39,02:29,03:39,"2025-11-12 18:14:48.453 32296-32296 I/LongDistanceRaceFragmentViewModel: addCircle ip=192.168.127.119, status=SPORTING, recordId=3b8761796ea949b3a0a6b71fffcd778a, testerId=1998863787, name=56, startTime=1762942452993, crossTime=1762942488252, crossCount=1, score=00:35, lastScore=00:00
2025-11-12 18:15:52.932 32296-32296 I/LongDistanceRaceFragmentViewModel: addCircle ip=192.168.127.119, status=SPORTING, recordId=3b8761796ea949b3a0a6b71fffcd778a, testerId=1998863787, name=56, startTime=1762942452993, crossTime=1762942552462, crossCount=2, score=01:39, lastScore=00:35
... (共4条日志)"
